"ID","Title","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C61","Добавление файла","Степан Гудзикевич","12/5/2020 4:50 PM","3600s","","High","","Функциональное тестирование","2","","Master","S2","Functional","Степан Гудзикевич","12/5/2020 5:31 PM"
"C89","Удаление файлов","Степан Гудзикевич","12/5/2020 5:06 PM","3600s","","High","","Функциональное тестирование","2","","Master","S2","Functional","Степан Гудзикевич","12/13/2020 6:22 PM"
"C95","Объем списка добавленных файлов","Степан Гудзикевич","12/5/2020 5:13 PM","3600s","","High","","Функциональное тестирование","2","","Master","S2","Functional","Степан Гудзикевич","12/5/2020 5:18 PM"
"C117","Количество символов файла в строке ""список файлов""","Степан Гудзикевич","12/5/2020 5:24 PM","3600s","","Medium","","Функциональное тестирование","2","","Master","S2","Functional","Степан Гудзикевич","12/5/2020 5:26 PM"
"C121","Добавление нескольких файлов","Степан Гудзикевич","12/5/2020 5:31 PM","3600s","","High","","Функциональное тестирование","2","","Master","S2","Functional","Степан Гудзикевич","12/5/2020 5:34 PM"
"C122","удаление нескольких файлов","Степан Гудзикевич","12/5/2020 5:32 PM","3600s","","High","","Функциональное тестирование","2","","Master","S2","Functional","Степан Гудзикевич","12/13/2020 6:24 PM"
"C123","добавление файлов разного объема","Степан Гудзикевич","12/5/2020 5:32 PM","3600s","","High","","Функциональное тестирование","2","","Master","S2","Functional","Степан Гудзикевич","12/5/2020 5:39 PM"
"C124","добавление фалов разного формата","Степан Гудзикевич","12/5/2020 5:33 PM","3600s","","High","","Функциональное тестирование","2","","Master","S2","Functional","Степан Гудзикевич","12/5/2020 5:42 PM"
"C132","выбор места выгрузки файлов","Степан Гудзикевич","12/5/2020 5:43 PM","3600s","","High","","Функциональное тестирование","2","","Master","S2","Functional","Степан Гудзикевич","12/5/2020 5:47 PM"
"C133","Выгрузка файла","Степан Гудзикевич","12/5/2020 5:43 PM","3600s","","High","","Функциональное тестирование","2","","Master","S2","Functional","Степан Гудзикевич","12/5/2020 5:49 PM"
"C135","выгрузка нескольких  файлов","Степан Гудзикевич","12/5/2020 5:43 PM","3600s","","High","","Функциональное тестирование","2","","Master","S2","Functional","Степан Гудзикевич","12/13/2020 6:33 PM"
"C144","Поле индикатора выгрузки","Степан Гудзикевич","12/5/2020 5:54 PM","3600s","","Medium","","Функциональное тестирование","2","","Master","S2","Functional","Степан Гудзикевич","12/5/2020 6:01 PM"
"C145","Приостановление выгрузки","Степан Гудзикевич","12/5/2020 5:56 PM","3600s","","High","","Функциональное тестирование","2","","Master","S2","Functional","Степан Гудзикевич","12/5/2020 5:59 PM"
"C149","запуск выгрузки","Степан Гудзикевич","12/5/2020 6:04 PM","3600s","","High","","Функциональное тестирование","2","","Master","S2","Functional","Степан Гудзикевич","12/5/2020 6:13 PM"
"C153","добавление файла с внешнего носителя","Степан Гудзикевич","12/5/2020 6:13 PM","3600s","","Medium","","Функциональное тестирование","2","","Master","S2","Functional","Степан Гудзикевич","12/5/2020 6:17 PM"
